Sub_ID,experimenter,Age,condition,book_type,glorp_type,glorp_adj,glorp,peebo_type,peebo_adj,peebo,tibu_type,tibu_adj,tibu,zib_type,zib_adj,zib,Size_correct,Feature_correct,total correct,agegroup,posttest,broken,whole,shortest,longest,clean,dirty,tallest,shortest,wet,dry,biggest,smallest,smoothest,pointiest
110413_01,ACH,4.21,1-AB,Paired,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,0,1,2,3,4.0-4.5,,,,,,,,,,,,,,,
111513_01,ACH,4.39,2-BA,Paired,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,4.0-4.5,100,,,,,,,,,,,,,,
111513_02,ACH,4.35,2-BA,Paired,Feature,broken,0,Size,short,1,Feature,wet,1,Size,tall,0,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
111813_01,ACH,4.31,1-AA,Paired,Size,small,0,Feature,pointy,1,Feature,wet,0,Size,tall,0,0,1,1,4.0-4.5,100,,,,,,,,,,,,,,
111813_02,ACH,4.29,1-AB,Paired,Size,small,0,Feature,pointy,0,Feature,wet,0,Size,tall,0,0,0,0,4.0-4.5,100,,,,,,,,,,,,,,
112113_03,LHH,4.58,1-BA,Paired,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
010914_02,LHH,4.13,1-AA,Paired,Size,small,0,Feature,pointy,1,Feature,wet,1,Size,tall,0,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
011414_03,LHH,4.61,2-AA,Paired,Size,small,0,Feature,pointy,1,Size,long,1,Feature,dirty,1,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
011414_04,LHH,4.1,2-AA,Paired,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,4.0-4.5,100,,,,,,,,,,,,,,
011414_05,LHH,4.17,1-AB,Paired,Size,small,1,Feature,pointy,0,Feature,wet,1,Size,tall,0,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
012714_02,LHH,4.42,2-AB,Paired,Size,small,1,Feature,pointy,1,Size,long,0,Feature,dirty,1,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
013114-02,LHH,4.65,2-BB,Paired,Feature,broken,1,Size,short,0,Feature,wet,1,Size,tall,1,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
020414_01,LHH,4.88,2-BA,Paired,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
020414_01,LHH,4.83,2-BB,Paired,Feature,broken,1,Size,short,0,Feature,wet,1,Size,tall,0,0,2,2,4.5-5.0,100,,,,,,,,,,,,,,
021314_03,LHH,4.41,1-BA,Paired,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,1,1,2,3,4.0-4.5,100,,,,,,,,,,,,,,
031114_01,LHH,4.69,1-AA,Paired,Size,small,0,Feature,pointy,1,Feature,wet,1,Size,tall,0,1,1,2,4.5-5.0,100,,,,,,,,,,,,,,
031114_02,LHH,4.53,1-AA,Paired,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
031314_02,LHH,4.53,1-BB,Paired,Feature,broken,1,Size,short,0,Size,long,1,Feature,dirty,1,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
040814_01,LHH,4.85,1-BB,Paired,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
041514_01,LHH,4.63,1-AA,Paired,Size,small,0,Feature,pointy,1,Feature,wet,0,Size,tall,0,0,1,1,4.5-5.0,100,Child hesitated on one of the posttest questions but got it eventually,,,,,,,,,,,,,
051614_01,LHH,4.89,2-AB,Paired,Size,small,1,Feature,pointy,1,Size,long,0,Feature,dirty,1,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
051614_04,LHH,4.68,2-BA,Paired,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,0,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
